Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U0L0,U0L1,U1L0,U1L3,U1L4,U2L4,U2L0,U3L2,U3L0
0.4376000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.43800000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4384,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.43879999999999997,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.43920000000000003,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4396000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44000000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4404,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44079999999999997,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44120000000000015,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4416000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44200000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4424,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44279999999999997,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44320000000000004,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4436000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44400000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4444,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4448,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44519999999999993,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44560000000000005,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44600000000000006,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4464,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4468,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.44720000000000015,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
0.4476000000000001,0.0,751.8,559.6,0.0,0.0,543.9,143.6,0.0,0.0,1110.9,529.1,0.0,919.2,1603.0,0.0,1605.4,500.4,202.7
