Time,U0,U1,U2,U3,L0,L1,L2,L3,L4,U2L2,U0L1,U0L2,U0L4,U1L3,U1L1,U2L1,U2L3,U3L1,U3L2
0.28140000000000004,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2816,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28180000000000005,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28200000000000003,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2822,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28240000000000004,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2826,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2828,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.283,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28319999999999995,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2834,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28359999999999996,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2838000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.284,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.28420000000000006,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2844000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2846000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
0.2848000000000001,0.4,0.0,0.0,824.5,273.0,0.0,0.0,210.0,0.0,1556.7,0.6,826.9,643.1,1204.7,842.3,0.0,51.3,387.1,361.4
